Date,Speed,Altitude,Pressure,X,Y,Z,G,Latitude,Longitude,Heading,Magnetic Field,Sound Level,Luminance,Driver
39:48.0,0,91.296215,1002.2715,-0.296677,-0.469147,-0.922028,1.07622,32.862177,-117.233938,288.647156,30.056977,74.491806,0,Naazneen
39:48.1,3.5,90.890026,1002.2715,-0.303986,-0.357391,-0.828003,0.951696,32.862183,-117.233995,288.647156,30.056977,75.775902,0,Naazneen
39:48.2,3.5,90.890026,1002.2715,-0.324905,-0.40921,-0.85112,0.99871,32.862183,-117.233995,288.647156,30.056977,74.380814,0,Naazneen
39:48.3,3.5,90.890026,1002.2715,-0.271194,-0.471817,-0.784592,0.954852,32.862183,-117.233995,287.556091,30.295224,75.326576,0,Naazneen
39:48.4,3.5,90.890026,1002.272186,-0.271805,-0.409348,-0.92189,1.044665,32.862183,-117.233995,287.556091,30.295224,75.314537,0,Naazneen
39:48.5,3.5,90.890026,1002.272186,-0.275955,-0.450775,-0.974304,1.108431,32.862183,-117.233995,286.404266,29.825735,75.21563,0,Naazneen
39:48.6,3.5,90.890026,1002.272186,-0.209091,-0.422302,-0.806046,0.933685,32.862183,-117.233995,285.12207,29.533339,74.742195,0,Naazneen
39:48.7,3.5,90.890026,1002.272186,-0.237762,-0.436127,-0.837631,0.97384,32.862183,-117.233995,285.12207,29.533339,72.413689,0,Naazneen
39:48.8,3.5,90.890026,1002.272186,-0.183731,-0.393738,-0.949783,1.04445,32.862183,-117.233995,284.042175,29.094099,75.000854,0,Naazneen
39:48.9,3.5,90.890026,1002.272186,-0.145462,-0.45459,-0.874756,0.996498,32.862183,-117.233995,284.042175,29.094099,75.658157,0,Naazneen
39:49.0,3.5,90.890026,1002.272186,-0.1595,-0.480072,-0.920166,1.050055,32.862183,-117.233995,284.042175,29.094099,74.603111,0,Naazneen
39:49.1,3.56,91.137218,1002.272186,-0.173767,-0.498596,-0.902756,1.04583,32.862185,-117.234037,283.035614,28.610158,75.441299,0,Naazneen
39:49.2,3.56,91.137218,1002.272186,-0.186523,-0.382507,-0.84726,0.948131,32.862185,-117.234037,283.035614,28.610158,73.790527,0,Naazneen
39:49.3,3.56,91.137218,1002.272186,-0.136948,-0.516647,-0.855392,1.00865,32.862185,-117.234037,281.892792,29.65692,74.9543,0,Naazneen
39:49.4,3.56,91.137218,1002.272186,-0.106201,-0.532394,-0.890808,1.043198,32.862185,-117.234037,279.725677,29.558974,74.469467,0,Naazneen
39:49.5,3.56,91.137218,1002.274628,-0.1371,-0.563751,-0.79895,0.987387,32.862185,-117.234037,277.292145,29.69239,75.101624,0,Naazneen
39:49.6,3.56,91.137218,1002.274628,-0.173141,-0.495758,-0.868927,1.015277,32.862185,-117.234037,274.638855,30.501144,75.637726,0,Naazneen
39:49.7,3.56,91.137218,1002.274628,-0.156143,-0.507294,-0.870316,1.0194,32.862185,-117.234037,273.446777,30.778532,75.029724,0,Naazneen
39:49.8,3.56,91.137218,1002.274628,-0.150421,-0.501633,-0.885925,1.029138,32.862185,-117.234037,272.175476,31.005509,72.883278,0,Naazneen
39:49.9,3.56,91.137218,1002.274628,-0.1418,-0.499542,-0.803513,0.956704,32.862185,-117.234037,270.949524,31.090287,73.53437,0,Naazneen
39:50.0,3.56,91.137218,1002.274628,-0.093857,-0.683182,-0.89238,1.12778,32.862185,-117.234037,268.502075,30.801813,69.975204,0,Naazneen
39:50.1,3.56,91.091564,1002.274628,-0.110489,-0.396713,-0.774689,0.877344,32.862179,-117.234085,266.278259,31.074432,68.925262,0,Naazneen
39:50.2,3.56,91.091564,1002.274628,-0.107925,-0.545914,-0.969391,1.11776,32.862179,-117.234085,264.898376,31.29305,73.681252,0,Naazneen
39:50.3,3.56,91.091564,1002.274628,-0.012283,-0.474106,-0.848633,0.972165,32.862179,-117.234085,262.528473,31.598337,78.712708,0,Naazneen
39:50.4,3.56,91.091564,1002.274628,-0.032883,-0.565826,-0.769974,0.956086,32.862179,-117.234085,259.942993,32.560915,76.483398,0,Naazneen
39:50.5,3.56,91.091564,1002.274628,-0.131805,-0.515533,-0.865463,1.01596,32.862179,-117.234085,257.54483,33.385677,76.859795,0,Naazneen
39:50.6,3.56,91.091564,1002.275543,-0.15976,-0.497681,-1.041718,1.165498,32.862179,-117.234085,255.008881,33.832481,74.381577,0,Naazneen
39:50.7,3.56,91.091564,1002.275543,-0.071289,-0.662064,-0.85994,1.087615,32.862179,-117.234085,252.23468,34.264087,77.535751,0,Naazneen
39:50.8,3.56,91.091564,1002.275543,-0.080185,-0.54924,-0.825348,0.994632,32.862179,-117.234085,249.915268,35.623444,75.750374,0,Naazneen
39:50.9,3.56,91.091564,1002.275543,-0.108765,-0.488083,-0.778168,0.924986,32.862179,-117.234085,247.645874,36.837203,71.614174,0,Naazneen
39:51.0,3.56,91.091564,1002.275543,-0.169113,-0.451797,-0.924805,1.043065,32.862179,-117.234085,244.977615,37.151756,77.241638,0,Naazneen
39:51.1,4.47,91.163403,1002.275543,-0.087585,-0.719666,-0.833847,1.104939,32.862166,-117.234135,243.536652,38.342119,75.523758,0,Naazneen
39:51.2,4.47,91.163403,1002.275543,-0.126328,-0.494446,-0.807846,0.955537,32.862166,-117.234135,240.962982,38.697137,72.094742,0,Naazneen
39:51.3,4.47,91.163403,1002.275543,-0.094742,-0.71019,-0.875519,1.131317,32.862166,-117.234135,238.552094,39.641404,76.724495,0,Naazneen
39:51.4,4.47,91.163403,1002.275543,-0.046799,-0.558563,-0.690277,0.889194,32.862166,-117.234135,235.881729,39.329253,76.148026,0,Naazneen
39:51.5,4.47,91.163403,1002.275543,-0.112946,-0.722275,-0.90802,1.165735,32.862166,-117.234135,233.140381,41.204186,75.775917,0,Naazneen
39:51.6,4.47,91.163403,1002.275543,-0.005539,-0.670975,-0.940491,1.155318,32.862166,-117.234135,230.19426,43.043401,73.934174,0,Naazneen
39:51.7,4.47,91.163403,1002.280579,-0.163284,-0.536346,-0.703629,0.899679,32.862166,-117.234135,227.234924,44.41792,70.508736,0,Naazneen
39:51.8,4.47,91.163403,1002.280579,-0.105957,-0.634232,-0.915237,1.118542,32.862166,-117.234135,224.313431,45.108898,69.414047,0,Naazneen
39:51.9,4.47,91.163403,1002.280579,-0.101562,-0.741165,-0.832748,1.119424,32.862166,-117.234135,221.39151,46.728795,76.584198,0,Naazneen
39:52.0,4.47,91.163403,1002.280579,-0.005829,-0.808807,-0.950729,1.248235,32.862166,-117.234135,218.321609,47.346565,77.308182,0,Naazneen
39:52.1,4.55,91.064404,1002.280579,-0.103333,-0.657349,-0.849533,1.079116,32.862133,-117.234165,215.331207,48.131214,75.219147,0,Naazneen
39:52.2,4.55,91.064404,1002.280579,-0.110367,-0.484406,-0.78569,0.929591,32.862133,-117.234165,212.102249,50.368394,80.158501,0,Naazneen
39:52.3,4.55,91.064404,1002.280579,-0.205063,-0.374771,-0.712296,0.830584,32.862133,-117.234165,209.395691,52.003411,78.083717,0,Naazneen
39:52.4,4.55,91.064404,1002.280579,-0.101974,-0.65918,-1.019882,1.218637,32.862133,-117.234165,207.11351,52.223903,79.953064,0,Naazneen
39:52.5,4.55,91.064404,1002.280579,-0.102692,-0.611145,-0.930481,1.117962,32.862133,-117.234165,204.909485,53.014512,79.121094,0,Naazneen
39:52.6,4.55,91.064404,1002.280579,-0.186035,-0.371979,-0.679657,0.796813,32.862133,-117.234165,203.826767,53.956561,77.045052,0,Naazneen
39:52.7,4.55,91.064404,1002.280579,-0.233521,-0.389313,-0.905212,1.012673,32.862133,-117.234165,202.764862,54.831949,74.798439,0,Naazneen
39:52.8,4.55,91.064404,1002.28775,-0.219101,-0.511856,-1.011108,1.154271,32.862133,-117.234165,201.533203,55.816985,77.003937,0,Naazneen
39:52.9,4.55,91.064404,1002.28775,-0.199234,-0.410172,-0.957184,1.060253,32.862133,-117.234165,200.436646,55.700092,77.517456,0,Naazneen
39:53.0,4.55,91.064404,1002.28775,-0.155167,-0.507202,-0.958496,1.095466,32.862133,-117.234165,199.34668,56.17023,79.331093,0,Naazneen
39:53.1,4.8,90.984814,1002.28775,-0.194077,-0.406479,-0.82637,0.941158,32.862083,-117.23417,198.154495,56.765881,76.67585,0,Naazneen
39:53.2,4.8,90.984814,1002.28775,-0.215942,-0.325439,-0.837112,0.923742,32.862083,-117.23417,198.154495,56.765881,74.848389,0,Naazneen
39:53.3,4.8,90.984814,1002.28775,-0.254715,-0.417923,-1.03804,1.147635,32.862083,-117.23417,197.116089,57.213978,79.366562,0,Naazneen
39:53.4,4.8,90.984814,1002.28775,-0.194336,-0.37793,-0.837433,0.939091,32.862083,-117.23417,197.116089,57.213978,79.164406,0,Naazneen
39:53.5,4.8,90.984814,1002.28775,-0.210907,-0.398239,-0.819122,0.9349,32.862083,-117.23417,197.116089,57.213978,77.027054,0,Naazneen
39:53.6,4.8,90.984814,1002.28775,-0.147964,-0.365189,-1.137833,1.204126,32.862083,-117.23417,195.987564,57.298733,79.03479,0,Naazneen
39:53.7,4.8,90.984814,1002.28775,-0.181885,-0.406708,-0.734634,0.859175,32.862083,-117.23417,195.987564,57.298733,78.290077,0,Naazneen
