,Date,Speed,Altitude,Pressure,X,Y,Z,G,Latitude,Longitude,Heading,Magnetic Field,Sound Level,Luminance,Driver,outlier
206926,37:57.3,12.55,123.90601299999999,0.0,-0.24447600000000003,-0.778671,0.10105900000000001,0.8223809999999999,32.820757,-117.15508,320.74054,43.785187,0.0,0.06514,Zhisen,True
206949,37:59.6,12.77,123.222176,0.0,-0.025939999999999998,-1.1799620000000002,-0.14325,1.188909,32.820982,-117.15508600000001,321.769684,43.103271,0.0,0.06514,Zhisen,True
206950,37:59.7,12.77,123.222176,0.0,0.48367299999999996,-1.008316,-0.266083,1.1495389999999999,32.820982,-117.15508600000001,321.769684,43.103271,0.0,0.06514,Zhisen,True
206951,37:59.8,12.77,123.222176,0.0,0.017258000000000003,-0.7323,-0.038254,0.7335010000000001,32.820982,-117.15508600000001,321.769684,43.103271,0.0,0.06514,Zhisen,True
206959,38:00.7,12.38,123.356697,0.0,-0.07623300000000001,-0.803833,-0.071198,0.810573,32.821092,-117.15509099999998,321.769684,43.103271,0.0,0.06514,Zhisen,True
206960,38:00.8,12.38,123.356697,0.0,-0.129349,-1.282715,-0.196671,1.304135,32.821092,-117.15509099999998,321.769684,43.103271,0.0,0.06514,Zhisen,True
206974,38:02.5,9.0,123.01368000000001,0.0,-0.074615,-0.699554,-0.47666899999999995,0.849799,32.821265000000004,-117.155105,321.769684,43.103271,0.0,0.06514,Zhisen,True
206975,38:02.5,9.0,123.01368000000001,0.0,-0.074615,-0.699554,-0.47666899999999995,0.849799,32.821265000000004,-117.155105,321.769684,43.103271,0.0,0.06514,Zhisen,True
206984,38:03.5,7.86,122.829292,0.0,-0.047133999999999995,-1.132599,-0.327606,1.179969,32.821323,-117.155101,321.769684,43.103271,0.0,0.06514,Zhisen,True
206985,38:03.7,7.86,122.829292,0.0,-0.32016,-1.0147709999999999,-0.42443800000000004,1.145604,32.821323,-117.155101,321.769684,43.103271,0.0,0.06514,Zhisen,True
207737,39:27.4,6.06,127.074593,0.0,0.29306,-1.141861,-0.132278,1.186267,32.821828000000004,-117.15526000000001,250.122055,49.428309000000006,0.0,0.06514,Zhisen,True
207738,39:27.5,6.06,127.074593,0.0,0.196213,-1.133377,0.057388,1.151667,32.821828000000004,-117.15526000000001,248.90387,49.869283,0.0,0.06514,Zhisen,True
207773,39:31.4,10.68,129.515816,0.0,0.199753,-1.161972,0.034393,1.179518,32.821857,-117.155616,246.62793,49.818507000000004,0.0,0.06514,Zhisen,True
207774,39:31.4,10.68,129.515816,0.0,0.199753,-1.161972,0.034393,1.179518,32.821857,-117.155616,246.62793,49.818507000000004,0.0,0.06514,Zhisen,True
207799,39:34.2,12.75,128.32709499999999,0.0,0.12651099999999998,-0.8428190000000001,-0.187332,0.872607,32.821863,-117.155998,248.67988599999998,49.747768,0.0,0.06514,Zhisen,True
207800,39:34.2,12.75,128.32709499999999,0.0,0.12651099999999998,-0.8428190000000001,-0.187332,0.872607,32.821863,-117.155998,248.67988599999998,49.747768,0.0,0.06514,Zhisen,True
207832,39:37.5,13.36,129.24482,0.0,-0.09378099999999999,-0.800949,-0.29577600000000004,0.858952,32.821864,-117.156424,251.784454,50.013967,0.0,0.06514,Zhisen,True
207833,39:37.5,13.36,129.24482,0.0,-0.09378099999999999,-0.800949,-0.29577600000000004,0.858952,32.821864,-117.156424,251.784454,50.013967,0.0,0.06514,Zhisen,True
207867,39:41.1,11.73,129.67292,0.0,-0.031525,-1.1393280000000001,-0.18066400000000002,1.153994,32.821863,-117.156824,256.961823,49.706502,0.0,0.06514,Zhisen,True
207868,39:41.1,11.73,129.67292,0.0,-0.031525,-1.1393280000000001,-0.18066400000000002,1.153994,32.821863,-117.156824,256.961823,49.706502,0.0,0.06514,Zhisen,True
